video_id,topic,topic_label
_BDRRsEyarQ,10,addiction / substance / cannabis
bDrXECEiJ00,-1,Outlier
bDvHCgw29NA,0,motivation / job / brain
Be7r-jaEYDo,0,motivation / job / brain
-BEdhS9-cno,0,motivation / job / brain
beLEmk_FIEM,6,gender / dude / emotion
BfThtZJPZ5Y,-1,Outlier
Bg5crCX_qr0,-1,Outlier
BGkQpmdqgPY,-1,Outlier
BgTLgmOMYx0,2,game / dopamine / brain
b_H0V1-kQbE,-1,Outlier
BHf0L8dZJbE,17,flag / relationship / partner
BhibOPEhwg8,13,comparison / insecurity / ego
BhiR_vZbRxk,-1,Outlier
bhlUCXoi_Ik,5,adhd / brain / medication
bHsPio5_PR4,0,motivation / job / brain
bHXa9vazbIc,8,interaction / extrovert / introvert
bIh1UkkxAQM,-1,Outlier
BIMYj2v1S_c,10,addiction / substance / cannabis
bIVrE2229WU,15,pornography / porn / addiction
bjoPlw4VLCU,6,gender / dude / emotion
bj_PSYBCUsM,5,adhd / brain / medication
bkQ7lE3cGwo,0,motivation / job / brain
bLbapI5t8no,-1,Outlier
BLNHI3XgJWM,2,game / dopamine / brain
bm03_vliJbU,22,psychosis / chatbot / risk
bMa9dAYdTE0,0,motivation / job / brain
bMOF0Go6brw,1,game / dad / friend
bmvBTDPzzaY,0,motivation / job / brain
bngPWkMf_xQ,1,game / dad / friend
Bnh3b9xj8ik,-1,Outlier
bniu1U6wvR8,12,meditation / technique / practice
BNmAqJnwoP0,4,relationship / love / friend
Bo6MZr6BtCY,-1,Outlier
BOAFLuwpGLk,0,motivation / job / brain
bObLBLB1OdY,-1,Outlier
boCT4IbZPpQ,-1,Outlier
bOolUj0K904,-1,Outlier
b-OsnGdLGwI,12,meditation / technique / practice
bOzs2Iel40s,28,food / weight / diet
BpiZSAjgGMc,-1,Outlier
BpKF-lCxBMQ,14,burnout / employee / job
bPmsfCZJpak,15,pornography / porn / addiction
BqR3YR13fqc,6,gender / dude / emotion
bqwVNmNqtXE,0,motivation / job / brain
braTlcWen0g,-1,Outlier
bRBd7wTjoJg,0,motivation / job / brain
bRN02ymah9E,7,depression / therapist / therapy
BrU85ut8_fs,-1,Outlier
BRvbh8xCi4w,-1,Outlier
brX8kKWDt5Y,-1,Outlier
bspDSXMfU1A,-1,Outlier
BSrVuZ99Tgw,-1,Outlier
BSrymhSn6I8,-1,Outlier
bs_Z7GRGeRw,-1,Outlier
BT4gsZBpL0E,2,game / dopamine / brain
bTCiBNjsawU,-1,Outlier
BtPeF2Vfj_0,0,motivation / job / brain
Bu8fxO-davw,-1,Outlier
Bus2ay2J3Wg,-1,Outlier
bUthNYRfBqU,-1,Outlier
BVh2Tf37i_w,-1,Outlier
bVuxSAYxCIE,-1,Outlier
bvVsnSku72s,-1,Outlier
bvyyd0bP9C8,7,depression / therapist / therapy
Bw3871NdUXg,11,sleep / bed / caffeine
bWGOe1IR2-4,12,meditation / technique / practice
bWUu7EB1AMw,-1,Outlier
Bx6ju1tEZ14,1,game / dad / friend
bXgB6-AxSZ0,-1,Outlier
BxU-MJxI3Hk,1,game / dad / friend
by3XapO8MBc,8,interaction / extrovert / introvert
ByQ6LCWJ5dk,6,gender / dude / emotion
bySteyZKwx0,-1,Outlier
BYVnZiL2ARo,14,burnout / employee / job
ByYUd6DESQk,-1,Outlier
bz7lSpNyyTc,9,parent / boundary / kid
bZLw4DGtTbA,-1,Outlier
BZPRX9X5V5I,-1,Outlier
BzsLbHoNXTs,22,psychosis / chatbot / risk
c22us13iigY,2,game / dopamine / brain
c4YifYKSBtY,-1,Outlier
C5qfKaVe89c,7,depression / therapist / therapy
c6mRqoL5bHY,1,game / dad / friend
c7FgphmzFRI,0,motivation / job / brain
C9NcbIjQTMU,3,trauma / anger / emotion
caGtn0aCZ5M,6,gender / dude / emotion
CAhhx_gG1UM,-1,Outlier
cakQlmA5acc,3,trauma / anger / emotion
Cb3BXbWKDv4,12,meditation / technique / practice
C-b8hYFAcAs,5,adhd / brain / medication
CbDzayqpP-A,21,shame / self / emotion
ccANklPhls0,-1,Outlier
CCi_7UM_Blo,1,game / dad / friend
cCu2VTKJwC8,-1,Outlier
Ccvi7MnQX58,-1,Outlier
cc_wtkNNPRg,3,trauma / anger / emotion
CCWZtrDR9iw,14,burnout / employee / job
CD9z7mc_JTU,5,adhd / brain / medication
CdFzkWvorwc,-1,Outlier
-CEaUaxQpEw,7,depression / therapist / therapy
Ceeb_fUNXZg,3,trauma / anger / emotion
cer73kLvBO4,24,generation / formula / despair
CerQFsM7fWs,3,trauma / anger / emotion
cfbPdL-YKQo,7,depression / therapist / therapy
CFnymGAQA0k,-1,Outlier
cfop1MEt6cg,2,game / dopamine / brain
CG_1RR_a8Cs,-1,Outlier
CGIEjak1xfs,-1,Outlier
CgIGel3zXEI,-1,Outlier
cHcx1IgoDjI,0,motivation / job / brain
cHFD2ycNsBs,13,comparison / insecurity / ego
ChlfclFYENk,3,trauma / anger / emotion
C_HMnZwijwU,20,sex / asexuality / penis
cHPgIpbnnBk,-1,Outlier
chuEIMgxnpg,1,game / dad / friend
CHzOedHm_kM,-1,Outlier
CijfKUEfOsg,7,depression / therapist / therapy
ckjoKSjQnnk,6,gender / dude / emotion
cklvQ_QX8y0,6,gender / dude / emotion
ckNUjZU1QF0,-1,Outlier
CKo5aB6i2x4,2,game / dopamine / brain
CKq66Y-nByA,2,game / dopamine / brain
cKrxP44Gp_0,-1,Outlier
CL1jF5kTELU,1,game / dad / friend
ClzxFgC3XRg,2,game / dopamine / brain
CNmIsWIavvY,0,motivation / job / brain
Cn_n8GL3XeM,-1,Outlier
CNRziReRiOY,-1,Outlier
cNyiAFxUiLk,23,kid / intelligence / intellect
co5Gv8HPzcM,1,game / dad / friend
COHThDr1uvg,21,shame / self / emotion
cojJ6fOwVKk,15,pornography / porn / addiction
COlSfNEsPZA,1,game / dad / friend
comR52XsK4E,-1,Outlier
CooJi1I6V1E,2,game / dopamine / brain
cOtxqjOqK2w,4,relationship / love / friend
-CpgRfXOZmc,0,motivation / job / brain
CpX36VRAvKw,0,motivation / job / brain
cQFEon5vdqM,3,trauma / anger / emotion
CQmaztM0RhY,0,motivation / job / brain
CrkSfIhvO5g,0,motivation / job / brain
cscVzF_n9R0,5,adhd / brain / medication
csPWWURmxLo,-1,Outlier
cTGEvqN6MMQ,0,motivation / job / brain
cuJW3jHNR_E,2,game / dopamine / brain
Cv3bj1M96fQ,7,depression / therapist / therapy
CVcx_MkJiBI,-1,Outlier
cvHhAz-vKsg,-1,Outlier
cvhZ5AGL-8w,0,motivation / job / brain
CvM9spJ8Fns,0,motivation / job / brain
cx0cp9sTWlQ,-1,Outlier
CxAAiGz_TlY,6,gender / dude / emotion
cxBn8aeeliI,-1,Outlier
CX_ov9N91Sg,-1,Outlier
cXw8cJolE5Y,13,comparison / insecurity / ego
cYb-Zq0fA48,0,motivation / job / brain
cyKEfejsVps,11,sleep / bed / caffeine
CYWM2ZY7E3s,-1,Outlier
cZ2yT8WASwQ,-1,Outlier
CZ9K8i9CEQo,3,trauma / anger / emotion
cZfeAYf2gjU,-1,Outlier
D-0wUYIyljs,0,motivation / job / brain
D_1eRqcJnes,2,game / dopamine / brain
